campaign_id,campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,creative_size,ad_copy_length,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,quarter,day_of_week,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,avg_session_duration_seconds,pages_per_session,industry_vertical,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit,start_month,start_year,start_day,is_weekend,is_peak_hour,revenue_per_click,profit_per_impression,spend_per_impression,click_to_conversion,ctr_quality_ratio,session_quality_score,engagement_score,high_performer,roas_tier
CAMP_00011,Brand Awareness,Twitter,Stories,Mobile,macOS,Story,728x90,Medium,True,Joy,70,25-34,Male,Tech Enthusiasts,$100K-$200K,Medium,True,2024-05-11,2,Saturday,9,27,5,1.38,23844,575,6,793.5,2363.43,60.94,109,2.06,E-commerce,Medium,2.412,1.38,1.043,132.25,2.98,1569.93,5,2024,11,1,1,4.103177083333333,0.065838959949675,0.033277416649192704,0.010416666666666666,0.40199999999999997,3.7423333333333333,0.19042542311649802,0,Medium
CAMP_00012,Engagement,TikTok,Feed,Mobile,Windows,Image,1080x1080,Medium,False,Joy,20,45-54,Female,Shoppers,$100K-$200K,High,False,2024-04-08,2,Monday,15,51,4,2.46,56208,849,10,2088.54,4805.71,34.81,116,4.54,SaaS,High,1.51,2.46,1.178,208.85,2.3,2717.17,4,2024,8,0,0,5.653776470588236,0.04834047928267715,0.03715668309345478,0.011764705882352941,0.302,8.777333333333333,0.1352909474803468,0,Medium
CAMP_00013,Conversions,Instagram,Feed,Tablet,Windows,Carousel,1920x1080,Short,True,Urgency,26,45-54,All,Gamers,$50K-$100K,Low,True,2025-02-17,1,Monday,1,39,9,0.52,21707,531,8,276.12,1634.77,69.79,50,2.37,Gaming,High,2.446,0.52,1.507,34.52,5.92,1358.65,2,2025,17,0,0,3.072875939849624,0.06258752533628156,0.012719734660033167,0.015037593984962405,0.2446,1.975,0.2873801001274857,1,Medium
CAMP_00014,Lead Generation,Facebook,Feed,Mobile,macOS,Image,300x250,Short,True,Joy,63,18-24,Male,Business Professionals,$100K-$200K,Medium,True,2025-09-01,3,Monday,9,75,4,4.07,5697,84,3,341.88,3956.75,55.94,84,2.87,Finance,Low,1.474,4.07,3.571,113.96,11.57,3614.87,9,2025,1,0,1,46.55,0.6344103194103194,0.06,0.03529411764705882,0.2948,4.018,0.16644449667287498,0,High
CAMP_00015,Brand Awareness,Facebook,Feed,Mobile,iOS,Video,1920x1080,Medium,False,Curiosity,19,55-64,Male,Tech Enthusiasts,>$200K,High,False,2024-12-07,4,Saturday,8,34,4,1.72,15688,162,2,278.64,856.4,48.94,81,3.65,SaaS,Low,1.033,1.72,1.235,139.32,3.07,577.76,12,2024,7,1,1,5.25398773006135,0.036825801516986424,0.017760214162789216,0.012269938650306749,0.20659999999999998,4.9275,0.11817705051775,0,Medium
CAMP_00016,Brand Awareness,Google Ads,In-Stream Video,Mobile,Android,Carousel,1920x1080,Short,False,Trust,4,25-34,Female,Tech Enthusiasts,$50K-$100K,Low,False,2024-10-29,4,Tuesday,8,65,6,2.28,6811,189,0,430.92,0.0,84.11,65,2.25,Healthcare,Low,2.775,2.28,0.0,0.0,0.0,-430.92,10,2024,29,0,1,0.0,-0.06325895478567234,0.06325895478567234,0.0,0.3964285714285714,2.4375,0.21269338959212375,0,Low
CAMP_00017,Lead Generation,Google Ads,Search,Desktop,Android,Image,728x90,Medium,False,Joy,72,25-34,Female,Students,$50K-$100K,Low,False,2025-01-17,1,Friday,16,36,3,9.3,172410,2196,79,20422.8,25320.91,73.91,40,1.36,Education,High,1.274,9.3,3.597,258.52,1.24,4898.11,1,2025,17,0,0,11.525220755575786,0.028409498233871386,0.1184541589573751,0.035958124715521164,0.3185,0.9066666666666667,0.13269964966463216,0,Medium
CAMP_00018,Lead Generation,Google Ads,Sidebar,Desktop,Android,Carousel,1080x1080,Medium,True,Joy,56,65+,Female,Shoppers,<$50K,Medium,True,2024-11-17,4,Sunday,11,23,8,3.0,9396,139,11,417.0,4130.75,53.51,70,2.16,SaaS,Medium,1.479,3.0,7.914,37.91,9.91,3713.75,11,2024,17,1,0,29.505357142857143,0.39520591678195166,0.044375864637650315,0.07857142857142857,0.16433333333333333,2.5200000000000005,0.3069579538286543,0,High
CAMP_00019,Lead Generation,Google Ads,Search,Mobile,iOS,Image,1920x1080,Medium,True,Fear,35,18-24,Female,Health & Fitness,$100K-$200K,High,False,2024-04-04,2,Thursday,2,51,6,4.0,5000,129,6,516.0,2030.81,36.5,91,4.63,Education,Medium,2.58,4.0,4.651,86.0,3.94,1514.81,4,2024,4,0,0,15.621615384615383,0.3029014197160568,0.10317936412717456,0.046153846153846156,0.3685714285714286,7.022166666666666,0.26271739997223426,1,Medium
CAMP_00020,Lead Generation,Google Ads,Feed,Desktop,macOS,Image,1920x1080,Long,True,Joy,43,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,False,2024-03-20,1,Wednesday,9,26,8,3.21,17648,1073,179,3444.33,85704.87,49.45,125,2.24,Finance,Medium,6.08,3.21,16.682,19.24,24.88,82260.54,3,2024,20,0,1,79.79969273743016,4.660917899031106,0.19515723270440252,0.16666666666666666,0.6755555555555556,4.666666666666668,0.5930395319171657,1,High
CAMP_00021,Conversions,Google Ads,Feed,Tablet,iOS,Image,1080x1080,Medium,True,Trust,84,55-64,Female,Gamers,<$50K,High,False,2024-06-07,2,Friday,6,26,3,7.72,40231,211,13,1628.92,1328.69,27.98,102,5.97,E-commerce,Medium,0.524,7.72,6.161,125.3,0.82,-300.23,6,2024,7,0,0,6.267405660377359,-0.007462467687413005,0.04048816862199245,0.06132075471698113,0.131,10.149,0.13481425859474824,0,Low
CAMP_00022,Brand Awareness,Google Ads,Feed,Mobile,Other,Carousel,1920x1080,Short,True,Joy,51,25-34,Male,Shoppers,$50K-$100K,Medium,False,2025-05-05,2,Monday,15,37,7,6.2,500000,3225,39,19995.0,10785.42,49.34,127,2.2,SaaS,Medium,0.645,6.2,1.209,512.69,0.54,-9209.58,5,2025,5,0,0,3.343279603223807,-0.018419123161753675,0.03998992002015996,0.01208927464352139,0.080625,4.656666666666667,0.16875916525139384,0,Low
CAMP_00023,Lead Generation,Twitter,Feed,Mobile,Windows,Image,1080x1080,Short,False,Fear,26,55-64,Male,Tech Enthusiasts,<$50K,Medium,True,2024-03-11,1,Monday,1,12,5,2.18,22908,366,5,797.88,2410.98,62.55,92,3.34,Healthcare,Medium,1.598,2.18,1.366,159.58,3.02,1613.1,3,2024,11,0,0,6.569427792915532,0.07041337465624863,0.03482823344537082,0.013623978201634877,0.26633333333333337,5.121333333333333,0.163406447703021,0,Medium
CAMP_00024,Lead Generation,Google Ads,Search,Mobile,Windows,Carousel,1920x1080,Short,True,Joy,48,25-34,Female,Tech Enthusiasts,>$200K,Medium,False,2024-07-15,3,Monday,2,62,6,2.49,64294,1309,11,3259.41,6450.42,69.77,38,2.86,E-commerce,Medium,2.036,2.49,0.84,296.31,1.98,3191.01,7,2024,15,0,0,4.923984732824428,0.04963076444513571,0.05069461077844311,0.008396946564885497,0.29085714285714287,1.8113333333333332,0.1955227395364047,0,Medium
CAMP_00025,Lead Generation,TikTok,Stories,Mobile,iOS,Video,300x250,Short,True,Trust,32,25-34,All,Gamers,$50K-$100K,Low,False,2024-11-01,4,Friday,20,86,4,1.75,70197,5127,109,8972.25,28016.44,67.39,53,1.37,E-commerce,Medium,7.304,1.75,2.126,82.31,3.12,19044.19,11,2024,1,0,1,5.463424336973478,0.2712924869654406,0.12781347046924413,0.02125585023400936,1.4608,1.2101666666666666,0.36702881226356193,0,Medium
CAMP_00026,Conversions,Google Ads,Stories,Mobile,Android,Carousel,1200x628,Short,True,Urgency,22,18-24,All,Gamers,<$50K,Low,False,2024-08-02,3,Friday,4,38,6,5.59,162124,3577,56,19995.43,29228.1,87.61,14,2.94,Finance,Medium,2.206,5.59,1.566,357.06,1.46,9232.67,8,2024,2,0,0,8.168837339295695,0.05694784888203547,0.12333341557440247,0.015651201788708775,0.3151428571428571,0.6859999999999999,0.21047701484831455,0,Medium
CAMP_00027,Brand Awareness,Twitter,Feed,Desktop,Android,Image,300x250,Short,True,Joy,51,25-34,Female,Tech Enthusiasts,<$50K,Medium,False,2024-12-10,4,Tuesday,16,58,5,1.41,176750,2609,86,3678.69,12634.5,49.69,234,2.92,Gaming,High,1.476,1.41,3.296,42.78,3.43,8955.81,12,2024,10,0,0,4.840804597701149,0.050669076836906156,0.020812838399782745,0.03295019157088123,0.246,11.388,0.18210181047437543,0,Medium
CAMP_00028,Lead Generation,Twitter,Feed,Mobile,Android,Image,1920x1080,Short,True,Curiosity,32,18-24,All,Gamers,<$50K,Medium,False,2025-07-14,3,Monday,2,29,6,2.15,32575,930,10,1999.5,4152.41,49.74,12,2.65,Healthcare,Medium,2.855,2.15,1.075,199.95,2.08,2152.91,7,2025,14,0,0,4.46016111707841,0.0660888384086444,0.06137954322200393,0.010741138560687433,0.40785714285714286,0.53,0.22948504783815524,0,Medium
CAMP_00029,Conversions,LinkedIn,Feed,Desktop,macOS,Video,1920x1080,Short,True,Urgency,84,25-34,Male,Shoppers,$100K-$200K,Low,True,2025-05-16,2,Friday,19,36,4,10.46,18583,404,38,4225.84,25400.83,62.6,10,1.98,SaaS,Low,2.174,10.46,9.406,111.21,6.01,21174.99,5,2025,16,0,1,62.7180987654321,1.1394204692208352,0.2273913043478261,0.09382716049382717,0.43479999999999996,0.32999999999999996,0.2607648133233931,1,Medium
CAMP_00030,Brand Awareness,LinkedIn,Feed,Desktop,Android,Image,1920x1080,Medium,True,Urgency,14,35-44,Male,Gamers,$100K-$200K,Medium,False,2024-05-19,2,Sunday,8,67,5,7.67,9847,91,1,697.97,767.85,50.9,187,3.02,SaaS,Low,0.924,7.67,1.099,697.97,1.1,69.88,5,2024,19,1,1,8.346195652173913,0.0070958570268074735,0.07087428919577579,0.010869565217391304,0.154,9.412333333333333,0.13381949539801824,0,Low
CAMP_00031,Conversions,Google Ads,Display Network,Mobile,Android,Image,1080x1080,Medium,True,Fear,76,35-44,All,Students,$50K-$100K,Low,True,2024-05-31,2,Friday,18,74,5,3.56,119196,1936,65,6892.16,59221.69,79.12,16,1.97,Finance,High,1.624,3.56,3.357,106.03,8.59,52329.53,5,2024,31,0,0,30.573923593185338,0.43901717325100464,0.05782158946953363,0.03355704697986577,0.27066666666666667,0.5253333333333333,0.19057185555356404,0,High
CAMP_00032,Brand Awareness,Instagram,Feed,Desktop,macOS,Video,1080x1080,Short,True,Trust,1,25-34,Male,Students,$50K-$100K,Medium,False,2025-09-10,3,Wednesday,17,77,7,1.13,86222,6897,183,7793.61,25745.14,37.14,136,1.85,Education,Medium,7.999,1.13,2.653,42.59,3.3,17951.53,9,2025,10,0,0,3.7322615250797333,0.20819885645361444,0.09038899133641835,0.026529428819947812,0.999875,4.193333333333333,0.46648576045565804,1,Medium
CAMP_00033,Brand Awareness,Twitter,Search,Tablet,iOS,Interactive,1080x1080,Medium,True,Urgency,43,18-24,Male,Business Professionals,$50K-$100K,Medium,False,2024-12-22,4,Sunday,19,55,5,1.55,5731,139,1,215.45,350.64,42.59,166,1.97,SaaS,Low,2.425,1.55,0.719,215.45,1.63,135.19,12,2024,22,1,1,2.5045714285714284,0.02358513607815771,0.037587229588276344,0.007142857142857143,0.4041666666666666,5.450333333333333,0.1864770205365366,0,Medium
CAMP_00034,Engagement,Twitter,Stories,Mobile,Windows,Carousel,300x250,Short,True,Joy,23,18-24,All,Students,$100K-$200K,High,True,2024-05-20,2,Monday,19,90,6,1.78,18395,666,23,1185.48,7418.17,45.14,112,2.45,SaaS,Low,3.621,1.78,3.453,51.54,6.26,6232.69,5,2024,20,0,1,11.121694152923538,0.33880680582735373,0.06444227005870841,0.034482758620689655,0.5172857142857142,4.573333333333334,0.28882523105385943,1,Medium
CAMP_00035,Engagement,LinkedIn,Feed,Tablet,Windows,Text,300x250,Long,True,Joy,28,25-34,Female,Shoppers,$50K-$100K,Medium,False,2024-09-03,3,Tuesday,15,31,7,4.47,19157,567,10,2534.49,3328.0,49.88,107,2.43,Education,Low,2.96,4.47,1.764,253.45,1.31,793.51,9,2024,3,0,0,5.859154929577465,0.04141925044367888,0.13229408080175384,0.017605633802816902,0.37,4.333500000000001,0.2636465847444932,0,Medium
CAMP_00036,Conversions,Facebook,Display Network,Desktop,Android,Image,300x250,Short,True,Joy,22,18-24,All,Business Professionals,>$200K,Medium,False,2025-08-26,3,Tuesday,14,41,7,2.83,29669,1062,27,3005.46,8677.57,56.43,44,3.21,E-commerce,Medium,3.579,2.83,2.542,111.31,2.89,5672.11,8,2025,26,0,0,8.163283160865475,0.19117323896191438,0.10129625884732053,0.02539981185324553,0.447375,2.3539999999999996,0.29713738502607584,0,Medium
CAMP_00037,Lead Generation,Twitter,Search,Tablet,macOS,Video,1200x628,Long,True,Joy,49,25-34,Female,Students,$100K-$200K,Medium,True,2025-04-30,2,Wednesday,19,66,6,1.03,36392,797,24,820.91,4355.57,31.91,61,2.43,Gaming,Medium,2.19,1.03,3.011,34.2,5.31,3534.66,4,2025,30,0,1,5.458107769423559,0.09712472178715686,0.022556810375621683,0.03007518796992481,0.31285714285714283,2.4705,0.22878955535178627,1,Medium
CAMP_00038,Brand Awareness,Google Ads,Feed,Desktop,macOS,Image,1080x1080,Short,False,Urgency,10,35-44,Male,Health & Fitness,<$50K,High,False,2025-08-05,3,Tuesday,21,39,4,3.2,51487,640,23,2048.0,4816.3,38.19,88,4.62,E-commerce,Medium,1.243,3.2,3.594,89.04,2.35,2768.3,8,2025,5,0,1,7.513728549141966,0.05376592604101927,0.039776258545680544,0.0358814352574103,0.24860000000000002,6.776,0.15416422821350056,0,Medium
CAMP_00039,Conversions,LinkedIn,In-Stream Video,Desktop,Android,Image,1200x628,Long,True,Urgency,61,18-24,Female,Gamers,$100K-$200K,Low,False,2024-03-17,1,Sunday,16,27,4,6.26,5000,37,0,231.62,0.0,63.11,47,3.27,SaaS,Low,0.74,6.26,0.0,0.0,0.0,-231.62,3,2024,17,1,0,0.0,-0.04631473705258948,0.04631473705258948,0.0,0.148,2.5615,0.09097046413502109,0,Low
CAMP_00040,Lead Generation,Google Ads,Feed,Desktop,Android,Image,1920x1080,Long,True,Urgency,36,45-54,Female,Tech Enthusiasts,<$50K,Medium,True,2025-04-08,2,Tuesday,4,45,5,1.85,75210,1630,74,3015.5,31251.68,60.61,83,2.76,SaaS,Medium,2.167,1.85,4.54,40.75,10.36,28236.18,4,2025,8,0,0,19.161054567749847,0.37542620095464757,0.040093869247849384,0.045370938074800735,0.36116666666666664,3.8179999999999996,0.22611456059581442,1,High
CAMP_00041,Brand Awareness,Instagram,Feed,Mobile,Android,Carousel,1080x1080,Short,True,Joy,89,18-24,Male,Shoppers,<$50K,Medium,False,2025-05-04,2,Sunday,19,7,5,1.6,16432,329,1,526.4,497.09,67.11,112,2.09,Healthcare,Low,2.002,1.6,0.304,526.4,0.94,-29.31,5,2025,4,1,1,1.5063333333333333,-0.0017836061583399257,0.03203310411975902,0.0030303030303030303,0.3336666666666666,3.901333333333333,0.16515053629243256,0,Low
CAMP_00042,Lead Generation,Google Ads,Display Network,Desktop,Windows,Carousel,320x50,Medium,True,Urgency,32,45-54,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-06-21,2,Saturday,11,61,7,2.24,168851,4430,98,9923.2,63064.56,61.63,80,2.92,Healthcare,Medium,2.624,2.24,2.212,101.26,6.36,53141.36,6,2025,21,1,0,14.232579553148273,0.3147215312818326,0.05876862577878853,0.022116903633491312,0.328,3.893333333333333,0.2583357362613765,1,Medium
CAMP_00043,Brand Awareness,Google Ads,Search,Mobile,Windows,Video,1920x1080,Short,True,Urgency,23,25-34,Male,Gamers,<$50K,Low,True,2025-08-30,3,Saturday,3,77,8,5.49,54524,2674,31,14680.26,17313.01,64.66,27,1.63,Healthcare,Medium,4.904,5.49,1.159,473.56,1.18,2632.75,8,2025,30,1,0,6.472153271028037,0.048285190279688216,0.26923906464924346,0.011588785046728972,0.5448888888888889,0.7334999999999999,0.3523782365541866,0,Low
CAMP_00044,App Installs,LinkedIn,Feed,Desktop,iOS,Carousel,1920x1080,Short,True,Trust,83,35-44,Male,Shoppers,$50K-$100K,Low,False,2024-02-06,1,Tuesday,4,31,5,11.88,7260,137,3,1627.56,1712.75,72.97,74,2.19,Healthcare,High,1.887,11.88,2.19,542.52,1.05,85.19,2,2024,6,0,0,12.41123188405797,0.011732543726759399,0.2241509433962264,0.021739130434782608,0.3145,2.701,0.18346059441169993,0,Low
CAMP_00045,Lead Generation,TikTok,Feed,Desktop,iOS,Image,1080x1080,Short,True,Joy,46,35-44,Male,Gamers,$100K-$200K,Medium,False,2025-08-01,3,Friday,18,69,7,0.8,74932,1552,58,1241.6,45187.49,41.99,113,2.34,Finance,Low,2.071,0.8,3.737,21.41,36.39,43945.89,8,2025,1,0,0,29.09690276883451,0.5864691124070837,0.016569468725394686,0.03734707018673535,0.258875,4.407,0.2679607926947851,1,High
CAMP_00046,Conversions,LinkedIn,Display Network,Mobile,macOS,Image,1920x1080,Medium,False,Trust,17,25-34,Female,Health & Fitness,$50K-$100K,Low,False,2024-07-23,3,Tuesday,6,40,3,6.16,18241,126,0,776.16,0.0,74.26,152,3.37,Healthcare,Medium,0.691,6.16,0.0,0.0,0.0,-776.16,7,2024,23,0,0,0.0,-0.04254796623177283,0.04254796623177283,0.0,0.17275,8.537333333333333,0.066887482419128,0,Low
CAMP_00047,Lead Generation,Google Ads,Feed,Desktop,Android,Video,1200x628,Short,False,Fear,53,35-44,Female,Business Professionals,$50K-$100K,Medium,False,2025-11-24,4,Monday,2,36,5,4.97,26871,1106,118,5496.82,97322.07,40.69,172,1.0,Finance,Medium,4.116,4.97,10.669,46.58,17.71,91825.25,11,2025,24,0,0,87.91514905149052,3.417134935992855,0.2045556713307532,0.10659439927732611,0.6859999999999999,2.8666666666666667,0.3766918410276437,1,High
CAMP_00048,Lead Generation,Google Ads,Feed,Mobile,Windows,Image,1920x1080,Medium,False,Curiosity,52,25-34,Male,Gamers,$50K-$100K,High,False,2024-04-26,2,Friday,8,68,5,3.84,35780,516,11,1981.44,3140.26,48.72,104,4.94,Healthcare,Medium,1.442,3.84,2.132,180.13,1.58,1158.82,4,2024,26,0,1,6.074003868471954,0.03238646208881808,0.055376875995640146,0.02127659574468085,0.24033333333333332,8.562666666666667,0.1660833853730031,0,Medium
CAMP_00049,Lead Generation,TikTok,Stories,Mobile,macOS,Carousel,1200x628,Medium,False,Joy,50,35-44,Female,Business Professionals,<$50K,Medium,False,2025-04-09,2,Wednesday,1,42,5,0.67,72882,922,5,617.74,616.58,46.35,114,1.93,Gaming,High,1.265,0.67,0.542,123.55,1.0,-1.16,4,2025,9,0,0,0.6680173347778982,-1.5915920036222438e-05,0.008475776244117285,0.005417118093174431,0.21083333333333332,3.667,0.1400438200076601,0,Low
CAMP_00050,Brand Awareness,Instagram,In-Stream Video,Tablet,Android,Carousel,1920x1080,Short,False,Urgency,42,45-54,Male,Students,$100K-$200K,Medium,False,2024-11-02,4,Saturday,17,81,4,3.91,85584,1313,5,5133.83,3867.59,43.36,99,2.52,Healthcare,Medium,1.534,3.91,0.381,1026.77,0.75,-1266.24,11,2024,2,1,0,2.9433713850837138,-0.01479511596658293,0.05998516095110124,0.00380517503805175,0.3068,4.1579999999999995,0.12600218146144126,0,Low
CAMP_00051,Engagement,TikTok,Feed,Mobile,Windows,Image,1080x1080,Short,False,Trust,54,18-24,Male,Business Professionals,$50K-$100K,High,True,2025-02-23,1,Sunday,19,12,3,0.57,5000,29,0,16.53,0.0,40.34,67,5.92,Finance,Low,0.58,0.57,0.0,0.0,0.0,-16.53,2,2025,23,1,1,0.0,-0.0033053389322135573,0.0033053389322135573,0.0,0.145,6.610666666666667,0.06267229254571027,0,Low
CAMP_00052,Conversions,Facebook,Display Network,Tablet,iOS,Carousel,1080x1080,Medium,True,Trust,62,18-24,All,Business Professionals,$50K-$100K,Low,True,2024-09-15,3,Sunday,8,15,7,0.86,29151,865,28,743.9,9671.13,62.31,53,3.3,E-commerce,Low,2.967,0.86,3.237,26.57,13.0,8927.23,9,2024,15,1,1,11.16758660508083,0.30623044731064764,0.02551797475301866,0.03233256351039261,0.370875,2.9149999999999996,0.2863862733203971,1,High
CAMP_00053,Engagement,Twitter,Search,Mobile,Other,Video,1920x1080,Short,True,Urgency,24,35-44,Female,Students,<$50K,Medium,False,2024-09-25,3,Wednesday,21,21,7,1.85,388220,10810,96,19998.5,45044.98,60.35,130,2.44,SaaS,Medium,2.785,1.85,0.888,208.32,2.25,25046.48,9,2024,25,0,1,4.166587734714643,0.0645160359692031,0.05151318450058086,0.008879844602719452,0.348125,5.286666666666666,0.24687481442651793,0,Medium
CAMP_00054,App Installs,Facebook,Stories,Tablet,iOS,Text,1080x1080,Short,True,Neutral,57,65+,Female,Health & Fitness,$100K-$200K,Medium,False,2024-07-03,3,Wednesday,2,28,6,0.74,36081,168,3,124.32,583.31,41.49,86,2.79,E-commerce,Medium,0.466,0.74,1.786,41.44,4.69,458.99,7,2024,3,0,0,3.451538461538461,0.01272074718696303,0.003445485283520869,0.01775147928994083,0.06657142857142857,3.999,0.14836673755181903,0,Medium
CAMP_00055,Conversions,Facebook,Search,Desktop,Android,Image,300x250,Medium,False,Curiosity,6,25-34,Female,Tech Enthusiasts,>$200K,Medium,True,2024-11-17,4,Sunday,14,63,7,0.87,198049,2984,67,2596.08,65638.74,39.57,59,1.21,Finance,High,1.507,0.87,2.245,38.75,25.28,63042.66,11,2024,17,1,0,21.989527638190957,0.3183168896743247,0.013108204998737692,0.022445561139028476,0.188375,1.1898333333333333,0.22407925176270518,0,High
CAMP_00056,App Installs,Facebook,Sidebar,Mobile,Android,Carousel,1080x1080,Short,True,Joy,83,45-54,Female,Shoppers,$100K-$200K,Medium,False,2025-08-25,3,Monday,21,37,4,3.37,84815,810,10,2729.7,7428.81,65.65,54,2.87,SaaS,High,0.955,3.37,1.235,272.97,2.72,4699.11,8,2025,25,0,1,9.160061652281135,0.05540357951329938,0.03218378607809847,0.012330456226880395,0.191,2.583,0.11507137652491425,0,Medium
